filename,width,height,class,xmin,ymin,xmax,ymax
DARK SOULS 02_05_2018 18_59_05.png,1024,576,player,419,252,610,522
DARK SOULS 02_05_2018 18_59_06.png,1024,576,hollow,555,199,592,330
DARK SOULS 02_05_2018 18_59_06.png,1024,576,player,267,283,515,576
DARK SOULS 02_05_2018 18_59_08.png,1024,576,hollow,387,220,455,343
DARK SOULS 02_05_2018 18_59_08.png,1024,576,player,450,259,647,576
DARK SOULS 02_05_2018 18_59_09.png,1024,576,hollow,236,287,312,437
DARK SOULS 02_05_2018 18_59_09.png,1024,576,player,464,259,663,576
DARK SOULS 02_05_2018 18_59_11.png,1024,576,hollow,69,253,325,576
DARK SOULS 02_05_2018 18_59_11.png,1024,576,player,567,196,913,576
DARK SOULS 02_05_2018 18_59_12.png,1024,576,hollow,190,248,293,456
DARK SOULS 02_05_2018 18_59_12.png,1024,576,player,428,256,646,576
DARK SOULS 02_05_2018 18_59_14.png,1024,576,hollow,202,273,325,448
DARK SOULS 02_05_2018 18_59_14.png,1024,576,player,460,255,583,552
DARK SOULS 02_05_2018 18_59_17.png,1024,576,hollow,122,324,285,576
DARK SOULS 02_05_2018 18_59_17.png,1024,576,player,532,259,749,576
DARK SOULS 02_05_2018 18_59_23.png,1024,576,hollow,181,250,316,478
DARK SOULS 02_05_2018 18_59_23.png,1024,576,player,432,285,636,576
DARK SOULS 02_05_2018 18_59_24.png,1024,576,hollow,27,265,158,529
DARK SOULS 02_05_2018 18_59_24.png,1024,576,player,414,263,606,556
DARK SOULS 02_05_2018 18_59_25.png,1024,576,hollow,118,252,244,482
DARK SOULS 02_05_2018 18_59_25.png,1024,576,player,399,264,605,530
DARK SOULS 02_05_2018 18_59_26.png,1024,576,hollow,86,211,202,467
DARK SOULS 02_05_2018 18_59_26.png,1024,576,player,404,264,606,532
DARK SOULS 02_05_2018 18_59_29.png,1024,576,hollow,784,222,927,461
DARK SOULS 02_05_2018 18_59_29.png,1024,576,player,451,239,677,566
DARK SOULS 02_05_2018 18_59_30.png,1024,576,hollow,769,249,1024,576
DARK SOULS 02_05_2018 18_59_30.png,1024,576,player,451,246,652,519
DARK SOULS 02_05_2018 18_59_31.png,1024,576,hollow,730,400,983,576
DARK SOULS 02_05_2018 18_59_31.png,1024,576,player,444,265,663,560
DARK SOULS 02_05_2018 18_59_32.png,1024,576,hollow,798,363,1024,574
DARK SOULS 02_05_2018 18_59_32.png,1024,576,player,470,243,585,520
DARK SOULS 02_05_2018 18_59_35.png,1024,576,hollow,651,103,712,287
DARK SOULS 02_05_2018 18_59_35.png,1024,576,player,237,331,572,576
DARK SOULS 02_05_2018 18_59_48.png,1024,576,hollow,705,215,861,498
DARK SOULS 02_05_2018 18_59_48.png,1024,576,player,421,270,598,576
DARK SOULS 02_05_2018 18_59_49.png,1024,576,hollow,733,246,834,530
DARK SOULS 02_05_2018 18_59_49.png,1024,576,player,422,262,617,566
DARK SOULS 02_05_2018 18_59_50.png,1024,576,hollow,604,258,817,539
DARK SOULS 02_05_2018 18_59_50.png,1024,576,player,386,271,564,572
DARK SOULS 02_05_2018 19_00_00.png,1024,576,hollow,764,129,878,430
DARK SOULS 02_05_2018 19_00_00.png,1024,576,player,434,226,807,576
DARK SOULS 02_05_2018 19_00_35.png,1024,576,hollow,182,264,264,465
DARK SOULS 02_05_2018 19_00_35.png,1024,576,player,441,253,680,576
DARK SOULS 02_05_2018 19_00_37.png,1024,576,hollow,155,280,356,485
DARK SOULS 02_05_2018 19_00_37.png,1024,576,player,463,296,768,576
DARK SOULS 02_05_2018 19_00_39.png,1024,576,hollow,235,278,335,411
DARK SOULS 02_05_2018 19_00_39.png,1024,576,player,447,262,654,576
DARK SOULS 02_05_2018 19_00_40.png,1024,576,hollow,240,260,332,428
DARK SOULS 02_05_2018 19_00_40.png,1024,576,player,416,258,620,576
DARK SOULS 02_05_2018 19_00_41.png,1024,576,hollow,1,254,249,576
DARK SOULS 02_05_2018 19_00_41.png,1024,576,player,352,237,679,576
DARK SOULS 02_05_2018 19_00_42.png,1024,576,hollow,98,256,393,541
DARK SOULS 02_05_2018 19_00_42.png,1024,576,player,385,255,650,576
DARK SOULS 02_05_2018 19_00_43.png,1024,576,hollow,1,281,267,576
DARK SOULS 02_05_2018 19_00_43.png,1024,576,player,357,227,825,576
DARK SOULS 02_05_2018 19_00_44.png,1024,576,hollow,1,352,143,576
DARK SOULS 02_05_2018 19_00_44.png,1024,576,player,334,227,785,576
DARK SOULS 02_05_2018 19_00_47.png,1024,576,hollow,803,274,891,500
DARK SOULS 02_05_2018 19_00_47.png,1024,576,player,280,265,507,576
DARK SOULS 02_05_2018 19_00_52.png,1024,576,hollow,867,306,977,506
DARK SOULS 02_05_2018 19_00_52.png,1024,576,player,456,308,694,576
DARK SOULS 02_05_2018 19_00_53.png,1024,576,hollow,764,309,940,509
DARK SOULS 02_05_2018 19_00_53.png,1024,576,player,457,307,690,576
DARK SOULS 02_05_2018 19_00_56.png,1024,576,hollow,845,189,1023,576
DARK SOULS 02_05_2018 19_00_56.png,1024,576,player,329,300,700,576
DARK SOULS 02_05_2018 19_01_03.png,1024,576,hollow,580,285,656,443
DARK SOULS 02_05_2018 19_01_03.png,1024,576,player,296,331,541,576
DARK SOULS 02_05_2018 19_01_26.png,1024,576,hollow,754,269,806,456
DARK SOULS 02_05_2018 19_01_26.png,1024,576,hollow,737,182,774,285
DARK SOULS 02_05_2018 19_01_26.png,1024,576,player,517,302,672,538
DARK SOULS 02_05_2018 19_01_27.png,1024,576,hollow,805,290,910,532
DARK SOULS 02_05_2018 19_01_27.png,1024,576,player,448,296,601,536
DARK SOULS 02_05_2018 19_01_28.png,1024,576,hollow,760,256,823,469
DARK SOULS 02_05_2018 19_01_28.png,1024,576,hollow,890,139,947,284
DARK SOULS 02_05_2018 19_01_28.png,1024,576,hollow,911,79,946,164
DARK SOULS 02_05_2018 19_01_28.png,1024,576,player,437,293,593,523
DARK SOULS 02_05_2018 19_01_29.png,1024,576,hollow,646,232,695,411
DARK SOULS 02_05_2018 19_01_29.png,1024,576,hollow,649,166,705,288
DARK SOULS 02_05_2018 19_01_29.png,1024,576,hollow,614,124,632,191
DARK SOULS 02_05_2018 19_01_29.png,1024,576,player,450,310,568,555
DARK SOULS 02_05_2018 19_01_30.png,1024,576,hollow,711,198,766,365
DARK SOULS 02_05_2018 19_01_30.png,1024,576,hollow,764,154,811,278
DARK SOULS 02_05_2018 19_01_30.png,1024,576,hollow,752,78,786,156
DARK SOULS 02_05_2018 19_01_30.png,1024,576,player,336,343,502,549
DARK SOULS 02_05_2018 19_01_31.png,1024,576,hollow,580,161,668,273
DARK SOULS 02_05_2018 19_01_31.png,1024,576,hollow,436,300,508,517
DARK SOULS 02_05_2018 19_01_31.png,1024,576,hollow,799,1,825,51
DARK SOULS 02_05_2018 19_01_31.png,1024,576,player,507,322,647,507
DARK SOULS 02_05_2018 19_02_18.png,1024,576,hollow,885,204,925,352
DARK SOULS 02_05_2018 19_02_18.png,1024,576,hollow,917,182,964,304
DARK SOULS 02_05_2018 19_02_18.png,1024,576,hollow,869,108,905,180
DARK SOULS 02_05_2018 19_02_18.png,1024,576,player,449,294,551,531
DARK SOULS 02_05_2018 19_02_20.png,1024,576,hollow,847,268,943,448
DARK SOULS 02_05_2018 19_02_20.png,1024,576,hollow,964,269,1024,440
DARK SOULS 02_05_2018 19_02_20.png,1024,576,player,442,291,596,522
DARK SOULS 02_05_2018 19_02_21.png,1024,576,hollow,738,245,826,438
DARK SOULS 02_05_2018 19_02_21.png,1024,576,hollow,899,274,1012,464
DARK SOULS 02_05_2018 19_02_21.png,1024,576,player,439,294,597,520
DARK SOULS 02_05_2018 19_02_22.png,1024,576,hollow,695,216,758,391
DARK SOULS 02_05_2018 19_02_22.png,1024,576,hollow,749,247,906,428
DARK SOULS 02_05_2018 19_02_22.png,1024,576,player,345,294,505,499
DARK SOULS 02_05_2018 19_02_24.png,1024,576,hollow,360,187,410,361
DARK SOULS 02_05_2018 19_02_24.png,1024,576,hollow,535,186,582,324
DARK SOULS 02_05_2018 19_02_24.png,1024,576,player,469,313,624,506
DARK SOULS 02_05_2018 19_02_25.png,1024,576,hollow,358,114,443,243
DARK SOULS 02_05_2018 19_02_25.png,1024,576,hollow,514,157,569,293
DARK SOULS 02_05_2018 19_02_25.png,1024,576,player,465,323,580,467
DARK SOULS 02_05_2018 19_02_26.png,1024,576,hollow,307,154,377,261
DARK SOULS 02_05_2018 19_02_26.png,1024,576,hollow,388,183,454,322
DARK SOULS 02_05_2018 19_02_26.png,1024,576,player,471,297,619,436
DARK SOULS 02_05_2018 19_02_27.png,1024,576,hollow,293,148,377,254
DARK SOULS 02_05_2018 19_02_27.png,1024,576,hollow,386,187,469,340
DARK SOULS 02_05_2018 19_02_27.png,1024,576,player,453,296,605,429
DARK SOULS 02_05_2018 19_02_28.png,1024,576,hollow,279,142,360,254
DARK SOULS 02_05_2018 19_02_28.png,1024,576,hollow,369,198,462,341
DARK SOULS 02_05_2018 19_02_28.png,1024,576,player,442,295,591,427
DARK SOULS 02_05_2018 19_02_30.png,1024,576,hollow,553,221,621,400
DARK SOULS 02_05_2018 19_02_30.png,1024,576,hollow,339,326,454,524
DARK SOULS 02_05_2018 19_02_30.png,1024,576,player,386,236,489,424
DARK SOULS 02_05_2018 19_02_31.png,1024,576,hollow,633,220,774,493
DARK SOULS 02_05_2018 19_02_31.png,1024,576,player,50,316,535,576
DARK SOULS 02_05_2018 19_02_32.png,1024,576,hollow,656,155,741,391
DARK SOULS 02_05_2018 19_02_32.png,1024,576,hollow,826,211,994,401
DARK SOULS 02_05_2018 19_02_32.png,1024,576,player,302,450,469,576
DARK SOULS 02_05_2018 19_02_37.png,1024,576,hollow,808,187,982,476
DARK SOULS 02_05_2018 19_02_37.png,1024,576,hollow,850,352,1024,576
DARK SOULS 02_05_2018 19_02_37.png,1024,576,player,314,334,609,576
DARK SOULS 02_05_2018 19_02_41.png,1024,576,hollow,256,123,317,267
DARK SOULS 02_05_2018 19_02_41.png,1024,576,hollow,427,158,493,263
DARK SOULS 02_05_2018 19_02_41.png,1024,576,player,406,294,561,522
DARK SOULS 02_05_2018 19_02_42.png,1024,576,hollow,286,187,376,331
DARK SOULS 02_05_2018 19_02_42.png,1024,576,hollow,397,180,452,295
DARK SOULS 02_05_2018 19_02_42.png,1024,576,player,454,294,562,528
DARK SOULS 02_05_2018 19_02_43.png,1024,576,hollow,371,256,482,406
DARK SOULS 02_05_2018 19_02_43.png,1024,576,hollow,365,185,427,274
DARK SOULS 02_05_2018 19_02_43.png,1024,576,player,472,338,620,561
DARK SOULS 02_05_2018 19_02_44.png,1024,576,hollow,621,241,686,394
DARK SOULS 02_05_2018 19_02_44.png,1024,576,hollow,685,279,753,396
DARK SOULS 02_05_2018 19_02_44.png,1024,576,player,342,315,491,491
DARK SOULS 02_05_2018 19_02_45.png,1024,576,hollow,629,310,720,479
DARK SOULS 02_05_2018 19_02_45.png,1024,576,hollow,717,298,765,417
DARK SOULS 02_05_2018 19_02_45.png,1024,576,player,426,344,579,503
DARK SOULS 02_05_2018 19_02_46.png,1024,576,hollow,612,328,714,485
DARK SOULS 02_05_2018 19_02_46.png,1024,576,hollow,605,285,702,421
DARK SOULS 02_05_2018 19_02_46.png,1024,576,player,429,348,586,517
DARK SOULS 02_05_2018 19_02_47.png,1024,576,hollow,589,268,661,393
DARK SOULS 02_05_2018 19_02_47.png,1024,576,hollow,705,290,786,459
DARK SOULS 02_05_2018 19_02_47.png,1024,576,player,433,346,590,501
DARK SOULS 02_05_2018 19_02_48.png,1024,576,hollow,664,225,735,368
DARK SOULS 02_05_2018 19_02_48.png,1024,576,hollow,858,351,969,554
DARK SOULS 02_05_2018 19_02_48.png,1024,576,player,443,339,585,518
DARK SOULS 02_05_2018 19_02_49.png,1024,576,hollow,656,220,738,357
DARK SOULS 02_05_2018 19_02_49.png,1024,576,hollow,857,387,969,567
DARK SOULS 02_05_2018 19_02_49.png,1024,576,player,443,333,581,519
DARK SOULS 02_05_2018 19_02_50.png,1024,576,hollow,497,113,546,241
DARK SOULS 02_05_2018 19_02_50.png,1024,576,hollow,786,256,890,390
DARK SOULS 02_05_2018 19_02_50.png,1024,576,player,438,315,564,453
DARK SOULS 02_05_2018 19_02_51.png,1024,576,hollow,501,117,576,246
DARK SOULS 02_05_2018 19_02_51.png,1024,576,hollow,751,304,864,419
DARK SOULS 02_05_2018 19_02_51.png,1024,576,player,443,264,579,423
DARK SOULS 02_05_2018 19_02_52.png,1024,576,hollow,361,153,480,292
DARK SOULS 02_05_2018 19_02_52.png,1024,576,hollow,563,197,648,324
DARK SOULS 02_05_2018 19_02_52.png,1024,576,player,480,373,592,527
DARK SOULS 02_05_2018 19_02_54.png,1024,576,hollow,339,1,488,153
DARK SOULS 02_05_2018 19_02_54.png,1024,576,hollow,735,109,854,405
DARK SOULS 02_05_2018 19_02_54.png,1024,576,player,422,414,711,576
DARK SOULS 02_05_2018 19_02_56.png,1024,576,hollow,237,224,350,393
DARK SOULS 02_05_2018 19_02_56.png,1024,576,hollow,108,390,306,576
DARK SOULS 02_05_2018 19_02_56.png,1024,576,player,432,278,576,481
DARK SOULS 02_05_2018 19_02_57.png,1024,576,hollow,355,167,447,319
DARK SOULS 02_05_2018 19_02_57.png,1024,576,hollow,167,307,299,537
DARK SOULS 02_05_2018 19_02_57.png,1024,576,player,451,278,621,485
DARK SOULS 02_05_2018 19_03_01.png,1024,576,hollow,496,104,603,268
DARK SOULS 02_05_2018 19_03_01.png,1024,576,hollow,658,130,701,264
DARK SOULS 02_05_2018 19_03_01.png,1024,576,player,421,324,565,476
DARK SOULS 02_05_2018 19_03_02.png,1024,576,hollow,501,130,594,301
DARK SOULS 02_05_2018 19_03_02.png,1024,576,hollow,629,154,688,285
DARK SOULS 02_05_2018 19_03_02.png,1024,576,player,432,326,550,472
DARK SOULS 02_05_2018 19_03_03.png,1024,576,hollow,377,174,486,293
DARK SOULS 02_05_2018 19_03_03.png,1024,576,hollow,489,156,556,293
DARK SOULS 02_05_2018 19_03_03.png,1024,576,player,441,335,595,456
DARK SOULS 02_05_2018 19_03_04.png,1024,576,hollow,193,178,277,331
DARK SOULS 02_05_2018 19_03_04.png,1024,576,hollow,336,187,384,329
DARK SOULS 02_05_2018 19_03_04.png,1024,576,player,456,298,607,437
DARK SOULS 02_05_2018 19_03_05.png,1024,576,hollow,335,115,401,260
DARK SOULS 02_05_2018 19_03_05.png,1024,576,hollow,437,161,518,302
DARK SOULS 02_05_2018 19_03_05.png,1024,576,player,417,303,590,436
DARK SOULS 02_05_2018 19_03_15.png,1024,576,hollow,53,178,130,332
DARK SOULS 02_05_2018 19_03_15.png,1024,576,hollow,732,211,794,396
DARK SOULS 02_05_2018 19_03_15.png,1024,576,player,417,289,550,430
DARK SOULS 02_05_2018 19_03_16.png,1024,576,hollow,180,165,314,308
DARK SOULS 02_05_2018 19_03_16.png,1024,576,hollow,732,157,825,333
DARK SOULS 02_05_2018 19_03_16.png,1024,576,player,431,271,567,461
DARK SOULS 02_05_2018 19_03_17.png,1024,576,hollow,39,274,243,430
DARK SOULS 02_05_2018 19_03_17.png,1024,576,hollow,240,275,354,450
DARK SOULS 02_05_2018 19_03_17.png,1024,576,hollow,667,167,756,347
DARK SOULS 02_05_2018 19_03_17.png,1024,576,player,494,289,589,456
DARK SOULS 02_05_2018 19_03_19.png,1024,576,hollow,273,295,427,537
